2. **Joke**: Why did you destroy that urinal cake? peer pressure  ,,,,
   **CSV Output**: cake, cake, refers to a dessert, She baked a delicious chocolate cake for the birthday party. , The urinal cake must be replaced regularly for hygiene reasons.
3. **Joke**: What do you call an ox with a gluten allergy? a silly-yak.  ,,,,
   **CSV Output**: yak, yak, refers to a type of animal, The yak grazed peacefully in the mountainous region. , He wouldnt stop yakking about his plans for the weekend.
4. **Joke**: How does james bond type e-mails? with his goldfinger.  ,,,,
   **CSV Output**: finger, finger, refers to a digit on the hand, He pointed at the map with his finger to indicate the location. , She couldnt believe he put a ring on her finger.
5. **Joke**: Why do sjws hate cannibals? theyre always man-spreading on their sandwiches.  ,,,,
   **CSV Output**: spread, spread, refers to a layer of something, She decided to spread butter on her toast for breakfast. , The rumors started to spread quickly throughout the school.
6. **Joke**: What do you call a soldier with long arms? an army soldier.  ,,,,
   **CSV Output**: army, army, refers to a military force, The army conducted an operation to provide relief to disaster victims. , He was part of the army that volunteered for the parade.
"Each joke includes a word that takes on two distinct meanings, fits your criteria, and comes with two serious sentences for each meaning.",,,,
